YEAR;PLAYER;POS;HGT;WGT;BMI;WNGSPN;STNDRCH;HANDL;HANDW;STNDVERT;LPVERT;LANE;SHUTTLE;SPRINT;BAR;PAN;PBHGT;PDHGT;Pk;College;Tm
2025;Almansa, Izan;C;81.25;220.4;23.5;85.75;109.5;9.25;9.5;28.0;34.0;11.5;2.9;3.3;105.5%;87.9;137.5;143.5;;;
2025;Avdalas, Neoklis;SF;79.5;197.8;22.0;81.0;104.5;8.25;9.8;27.0;33.5;11.0;3.0;3.2;101.9%;80.9;131.5;138.0;;;
2025;Bailey, Ace;SF-PF;79.5;203.0;22.6;84.5;107.0;8.5;9.0;28.0;35.0;11.0;3.0;3.0;106.3%;76.5;135.0;142.0;5.00;Rutgers;UTA
2025;Bates, Tamar;SG;75.75;191.0;23.4;82.25;103.0;9.75;9.0;28.0;34.0;11.0;3.0;3.0;108.6%;87.8;131.0;137.0;;;
2025;Brea, Koby;SG;77.75;202.0;23.5;77.25;101.5;8.5;9.3;28.0;34.0;11.0;3.0;3.0;99.4%;79.1;129.5;135.5;41.0;Kentucky;GSW
2025;Broome, Johni;SF-PF;81.25;249.0;26.5;84.25;108.5;9.25;10.3;25.0;28.0;12.0;3.0;3.0;103.7%;95.3;133.5;136.5;35.0;Auburn;PHI
2025;Bryant, Carter;SF-PF;78.5;215.0;24.5;83.75;106.0;8.5;9.5;31.0;40.0;11.0;3.0;3.0;106.7%;80.8;137.0;146.0;14.00;Arizona;SAS
2025;Byrd, Miles;SG;76.75;182.0;21.7;82.0;102.5;8.75;9.3;32.0;36.0;11.0;3.0;3.0;106.8%;81.4;134.5;138.5;;;
2025;Clayton Jr., Walter;PG-SG;74.0;199.0;25.5;76.0;97.5;8.25;9.8;30.0;37.0;11.0;3.0;3.0;102.7%;80.9;127.5;134.5;18.00;Florida;WAS
2025;Clifford, Nique;PG-SG;77.25;202.0;23.8;80.0;102.5;8.25;8.5;31.0;36.0;11.0;3.0;3.0;103.6%;70.1;133.5;138.5;24;Colorado State;OKC
2025;Condon, Alex;SF-PF;83.25;222.0;22.5;84.75;107.5;9.25;9.8;30.0;35.0;12.0;3.0;3.0;101.8%;90.7;137.5;142.5;;;
2025;Coward, Cedric;PG-SG;77.25;213.0;25.1;86.25;106.0;9.25;10.0;33.0;39.0;11.0;3.0;3.0;111.7%;92.5;139.0;145.0;11;Washington State;POR
2025;Demin, Egor;PG-SG;80.25;199.0;21.7;82.25;105.5;8.25;9.3;27.0;32.0;11.0;3.0;3.0;102.5%;76.7;132.5;137.5;8.00;BYU;BKN
2025;Dixon, Eric;PF;79.5;259.0;28.8;83.5;104.0;8.75;10.0;28.0;33.0;12.0;3.0;3.0;105.0%;87.5;132.0;137.0;;;
2025;Edgecombe, VJ;PG-SG;76.0;193.0;23.5;79.5;101.5;8.5;9.5;30.0;39.0;11.0;3.0;3.0;104.6%;80.8;131.5;140.5;3.00;Baylor;PHI
2025;Fears, Jeremiah;PG-SG;74.5;180.0;22.8;77.25;98.5;8.25;9.3;33.0;37.0;11.0;3.0;3.0;103.7%;76.7;131.5;135.5;7.00;Oklahoma;NOP
2025;Flagg, Cooper;SF-PF;79.75;221.0;24.4;84.0;106.5;8.75;9.8;29.0;36.0;11.0;3.0;3.0;105.3%;85.8;135.5;142.5;1.00;Duke;DAL
2025;Fland, Boogie;PG;74.0;172.0;22.1;78.0;98.0;8.5;9.0;;;;;;105.4%;76.5;;;;;
2025;Fleming, Rasheer;SF-PF;80.25;232.0;25.3;89.25;109.0;9.5;9.5;27.0;33.0;11.0;3.0;3.0;111.2%;90.3;136.0;142.0;31.0;Saint Joseph’s;MIN
2025;Goldin, Vladislav;C;84.0;253.0;25.2;89.25;111.0;9.5;11.8;27.0;30.0;12.0;3.0;4.0;106.3%;112.1;138.0;141.0;;;
2025;Haggerty, PJ;SG;74.25;189.0;24.1;78.5;97.5;8.5;9.5;28.0;32.0;12.0;3.0;3.0;105.7%;80.8;125.5;129.5;;;
2025;Harper, Dylan;PG-SG;76.5;213.0;25.6;82.5;102.0;9.25;9.3;31.0;37.0;11.0;3.0;3.0;107.8%;86.0;133.0;139.0;2.00;Rutgers;SAS
2025;Henshall, Ben;SG;77.5;193.0;22.6;78.5;99.5;8.0;8.0;30.0;37.0;10.0;3.0;3.0;101.3%;64.0;129.5;136.5;;;
2025;Jakucionis, Kasparas;PG-SG;76.75;205.0;24.5;79.75;99.5;8.5;9.8;29.0;35.0;11.0;3.0;3.0;103.9%;83.3;128.5;134.5;20.00;Illinois;MIA
2025;James, Sion;SG;76.5;218.0;26.2;78.5;100.0;8.25;9.3;32.0;40.0;11.0;3.0;3.0;102.6%;76.7;132.0;140.0;33.0;Duke;CHA
2025;Johnson, Tre;PG-SG;76.75;190.0;22.7;82.25;101.0;8.5;8.0;32.0;38.0;10.0;3.0;3.0;107.2%;68.0;133.0;139.0;6.00;Texas;WAS
2025;Jones, Kam;PG;75.25;202.0;25.1;78.0;100.5;8.25;8.5;25.0;32.0;11.0;3.0;3.0;103.7%;70.1;125.5;132.5;38.0;Marquette;SAS
2025;Kalkbrenner, Ryan;C;85.0;257.0;25.0;90.0;112.0;9.25;11.3;29.0;33.0;12.0;3.0;3.0;105.9%;104.5;141.0;145.0;34.0;Creighton;CHA
