Player,Team,Affiliation,Year,Round Number,Round Pick,Overall Pick,Team Abbreviation
Zaccharie Risacher,Atlanta Hawks,JL Bourg (France),2024,1,1,1,ATL
Alex Sarr,Washington Wizards,Perth Wildcats (Australia),2024,1,2,2,WAS
Reed Sheppard,Houston Rockets,Kentucky,2024,1,3,3,HOU
Stephon Castle,San Antonio Spurs,Connecticut,2024,1,4,4,SAS
Ronald Holland II,Detroit Pistons,Ignite (G League),2024,1,5,5,DET
Tidjane Salaün,Charlotte Hornets,Cholet Basket (France),2024,1,6,6,CHA
Donovan Clingan,Portland Trail Blazers,Connecticut,2024,1,7,7,POR
Rob Dillingham,San Antonio Spurs,Kentucky,2024,1,8,8,SAS
Zach Edey,Memphis Grizzlies,Purdue,2024,1,9,9,MEM
Cody Williams,Utah Jazz,Colorado,2024,1,10,10,UTA
Matas Buzelis,Chicago Bulls,Ignite (G League),2024,1,11,11,CHI
Nikola Topić,Oklahoma City Thunder,KK Crvena zvezda (Serbia),2024,1,12,12,OKC
Devin Carter,Sacramento Kings,Providence,2024,1,13,13,SAC
Bub Carrington,Portland Trail Blazers,Pittsburgh,2024,1,14,14,POR
Kel'el Ware,Miami Heat,Indiana,2024,1,15,15,MIA
Jared McCain,Philadelphia 76Ers,Duke,2024,1,16,16,PHI
Dalton Knecht,Los Angeles Lakers,Tennessee,2024,1,17,17,LAL
Tristan da Silva,Orlando Magic,Colorado,2024,1,18,18,ORL
Ja'Kobe Walter,Toronto Raptors,Baylor,2024,1,19,19,TOR
Jaylon Tyson,Cleveland Cavaliers,California,2024,1,20,20,CLE
Yves Missi,New Orleans Pelicans,Baylor,2024,1,21,21,NOP
DaRon Holmes II,Phoenix Suns,Dayton,2024,1,22,22,PHX
AJ Johnson,Milwaukee Bucks,Illawarra (Australia),2024,1,23,23,MIL
Kyshawn George,New York Knicks,Miami (FL),2024,1,24,24,NYK
Pacôme Dadiet,New York Knicks,Ratiopharm Ulm (Germany),2024,1,25,25,NYK
Dillon Jones,Washington Wizards,Weber State,2024,1,26,26,WAS
Terrence Shannon Jr.,Minnesota Timberwolves,Illinois,2024,1,27,27,MIN
Ryan Dunn,Denver Nuggets,Virginia,2024,1,28,28,DEN
Isaiah Collier,Utah Jazz,Southern California,2024,1,29,29,UTA
Baylor Scheierman,Boston Celtics,Creighton,2024,1,30,30,BOS
Jonathan Mogbo,Toronto Raptors,San Francisco,2024,2,1,31,TOR
Kyle Filipowski,Utah Jazz,Duke,2024,2,2,32,UTA
Tyler Smith,Milwaukee Bucks,Ignite (G League),2024,2,3,33,MIL
Tyler Kolek,Portland Trail Blazers,Marquette,2024,2,4,34,POR
Johnny Furphy,San Antonio Spurs,Kansas,2024,2,5,35,SAS
Juan Nunez,Indiana Pacers,Ratiopharm Ulm (Germany),2024,2,6,36,IND
Bobi Klintman,Minnesota Timberwolves,Cairns Taipans (Australia),2024,2,7,37,MIN
Ajay Mitchell,New York Knicks,California-Santa Barbara,2024,2,8,38,NYK
Jaylen Wells,Memphis Grizzlies,Washington State,2024,2,9,39,MEM
Oso Ighodaro,Portland Trail Blazers,Marquette,2024,2,10,40,POR
Adem Bona,Philadelphia 76Ers,California-Los Angeles,2024,2,11,41,PHI
KJ Simpson,Charlotte Hornets,Colorado,2024,2,12,42,CHA
Nikola Djurisic,Miami Heat,KK Mega Leks (Serbia),2024,2,13,43,MIA
Pelle Larsson,Houston Rockets,Arizona,2024,2,14,44,HOU
Jamal Shead,Sacramento Kings,Houston,2024,2,15,45,SAC
Cam Christie,La Clippers,Minnesota,2024,2,16,46,LAC
Antonio Reeves,Orlando Magic,Kentucky,2024,2,17,47,ORL
Harrison Ingram,San Antonio Spurs,North Carolina,2024,2,18,48,SAS
Tristen Newton,Indiana Pacers,Connecticut,2024,2,19,49,IND
Enrique Freeman,Indiana Pacers,Akron,2024,2,20,50,IND
Melvin Ajinca,New York Knicks,Saint-Quentin BB (France),2024,2,21,51,NYK
Quinten Post,Golden State Warriors,Boston College,2024,2,22,52,GSW
Cam Spencer,Detroit Pistons,Connecticut,2024,2,23,53,DET
Anton Watson,Boston Celtics,Gonzaga,2024,2,24,54,BOS
Bronny James,Los Angeles Lakers,Southern California,2024,2,25,55,LAL
Kevin McCullar Jr.,Phoenix Suns,Kansas,2024,2,26,56,PHX
Ulrich Chomche,Memphis Grizzlies,APR BBC (Rwanda),2024,2,27,57,MEM
Ariel Hukporti,Dallas Mavericks,MHP Riesen (Germany),2024,2,28,58,DAL
Victor Wembanyama,San Antonio Spurs,Metropolitans 92 (France),2023,1,1,1,SAS
Brandon Miller,Charlotte Hornets,Alabama,2023,1,2,2,CHA
Scoot Henderson,Portland Trail Blazers,Ignite (G League),2023,1,3,3,POR
Amen Thompson,Houston Rockets,Overtime Elite,2023,1,4,4,HOU
Ausar Thompson,Detroit Pistons,Overtime Elite,2023,1,5,5,DET
Anthony Black,Orlando Magic,Arkansas,2023,1,6,6,ORL
Bilal Coulibaly,Indiana Pacers,Metropolitans 92 (France),2023,1,7,7,IND
Jarace Walker,Washington Wizards,Houston,2023,1,8,8,WAS
Taylor Hendricks,Utah Jazz,Central Florida,2023,1,9,9,UTA
Cason Wallace,Dallas Mavericks,Kentucky,2023,1,10,10,DAL
Jett Howard,Orlando Magic,Michigan,2023,1,11,11,ORL
Dereck Lively II,Oklahoma City Thunder,Duke,2023,1,12,12,OKC
Gradey Dick,Toronto Raptors,Kansas,2023,1,13,13,TOR
Jordan Hawkins,New Orleans Pelicans,Connecticut,2023,1,14,14,NOP
Kobe Bufkin,Atlanta Hawks,Michigan,2023,1,15,15,ATL
Keyonte George,Utah Jazz,Baylor,2023,1,16,16,UTA
Jalen Hood-Schifino,Los Angeles Lakers,Indiana,2023,1,17,17,LAL
Jaime Jaquez Jr.,Miami Heat,California-Los Angeles,2023,1,18,18,MIA
Brandin Podziemski,Golden State Warriors,Santa Clara,2023,1,19,19,GSW
Cam Whitmore,Houston Rockets,Villanova,2023,1,20,20,HOU
Noah Clowney,Brooklyn Nets,Alabama,2023,1,21,21,BKN
Dariq Whitehead,Brooklyn Nets,Duke,2023,1,22,22,BKN
Kris Murray,Portland Trail Blazers,Iowa,2023,1,23,23,POR
Olivier-Maxence Prosper,Sacramento Kings,Marquette,2023,1,24,24,SAC
Marcus Sasser,Memphis Grizzlies,Houston,2023,1,25,25,MEM
Ben Sheppard,Indiana Pacers,Belmont,2023,1,26,26,IND
Nick Smith Jr.,Charlotte Hornets,Arkansas,2023,1,27,27,CHA
Brice Sensabaugh,Utah Jazz,Ohio State,2023,1,28,28,UTA
Julian Strawther,Indiana Pacers,Gonzaga,2023,1,29,29,IND
Kobe Brown,La Clippers,Missouri,2023,1,30,30,LAC
James Nnaji,Detroit Pistons,FC Barcelona Basquet (Spain),2023,2,1,31,DET
Jalen Pickett,Indiana Pacers,Penn State,2023,2,2,32,IND
Leonard Miller,San Antonio Spurs,Ignite (G League),2023,2,3,33,SAS
Colby Jones,Charlotte Hornets,Xavier,2023,2,4,34,CHA
Julian Phillips,Boston Celtics,Tennessee,2023,2,5,35,BOS
Andre Jackson Jr.,Orlando Magic,Connecticut,2023,2,6,36,ORL
Hunter Tyson,Oklahoma City Thunder,Clemson,2023,2,7,37,OKC
Jordan Walsh,Sacramento Kings,Arkansas,2023,2,8,38,SAC
Mouhamed Gueye,Charlotte Hornets,Washington State,2023,2,9,39,CHA
Maxwell Lewis,Denver Nuggets,Pepperdine,2023,2,10,40,DEN
Amari Bailey,Charlotte Hornets,California-Los Angeles,2023,2,11,41,CHA
Tristan Vukcevic,Washington Wizards,Real Madrid Baloncesto (Spain),2023,2,12,42,WAS
Rayan Rupert,Portland Trail Blazers,Breakers (New Zealand),2023,2,13,43,POR
Sidy Cissoko,San Antonio Spurs,Ignite (G League),2023,2,14,44,SAS
GG Jackson,Memphis Grizzlies,South Carolina,2023,2,15,45,MEM
Seth Lundy,Atlanta Hawks,Penn State,2023,2,16,46,ATL
Mojave King,Los Angeles Lakers,Ignite (G League),2023,2,17,47,LAL
Jordan Miller,La Clippers,Miami (FL),2023,2,18,48,LAC
Emoni Bates,Cleveland Cavaliers,Eastern Michigan,2023,2,19,49,CLE
Keyontae Johnson,Oklahoma City Thunder,Kansas State,2023,2,20,50,OKC
Jalen Wilson,Brooklyn Nets,Kansas,2023,2,21,51,BKN
Toumani Camara,Phoenix Suns,Dayton,2023,2,22,52,PHX
Jaylen Clark,Minnesota Timberwolves,California-Los Angeles,2023,2,23,53,MIN
Jalen Slawson,Sacramento Kings,Furman,2023,2,24,54,SAC
Isaiah Wong,Indiana Pacers,Miami (FL),2023,2,25,55,IND
Tarik Biberovic,Memphis Grizzlies,Fenerbahce S.K. (Turkey),2023,2,26,56,MEM
Trayce Jackson-Davis,Washington Wizards,Indiana,2023,2,27,57,WAS
Chris Livingston,Milwaukee Bucks,Kentucky,2023,2,28,58,MIL
Paolo Banchero,Orlando Magic,Duke,2022,1,1,1,ORL
Chet Holmgren,Oklahoma City Thunder,Gonzaga,2022,1,2,2,OKC
Jabari Smith Jr.,Houston Rockets,Auburn,2022,1,3,3,HOU
Keegan Murray,Sacramento Kings,Iowa,2022,1,4,4,SAC
Jaden Ivey,Detroit Pistons,Purdue,2022,1,5,5,DET
Bennedict Mathurin,Indiana Pacers,Arizona,2022,1,6,6,IND
Shaedon Sharpe,Portland Trail Blazers,Kentucky,2022,1,7,7,POR
Dyson Daniels,New Orleans Pelicans,Ignite (G League),2022,1,8,8,NOP
Jeremy Sochan,San Antonio Spurs,Baylor,2022,1,9,9,SAS
Johnny Davis,Washington Wizards,Wisconsin,2022,1,10,10,WAS
Ousmane Dieng,New York Knicks,Breakers (New Zealand),2022,1,11,11,NYK
Jalen Williams,Oklahoma City Thunder,Santa Clara,2022,1,12,12,OKC
Jalen Duren,Charlotte Hornets,Memphis,2022,1,13,13,CHA
Ochai Agbaji,Cleveland Cavaliers,Kansas,2022,1,14,14,CLE
Mark Williams,Charlotte Hornets,Duke,2022,1,15,15,CHA
AJ Griffin,Atlanta Hawks,Duke,2022,1,16,16,ATL
Tari Eason,Houston Rockets,Louisiana State,2022,1,17,17,HOU
Dalen Terry,Chicago Bulls,Arizona State,2022,1,18,18,CHI
Jake LaRavia,Minnesota Timberwolves,Wake Forest,2022,1,19,19,MIN
Malaki Branham,San Antonio Spurs,Ohio State,2022,1,20,20,SAS
Christian Braun,Denver Nuggets,Kansas,2022,1,21,21,DEN
Walker Kessler,Memphis Grizzlies,Auburn,2022,1,22,22,MEM
David Roddy,Philadelphia 76Ers,Colorado State,2022,1,23,23,PHI
MarJon Beauchamp,Milwaukee Bucks,Ignite (G League),2022,1,24,24,MIL
Blake Wesley,San Antonio Spurs,Notre Dame,2022,1,25,25,SAS
Wendell Moore Jr.,Dallas Mavericks,Duke,2022,1,26,26,DAL
Nikola Jović,Miami Heat,KK Mega Leks (Serbia),2022,1,27,27,MIA
Patrick Baldwin Jr.,Golden State Warriors,Wisconsin-Milwaukee,2022,1,28,28,GSW
TyTy Washington Jr.,Memphis Grizzlies,Kentucky,2022,1,29,29,MEM
Peyton Watson,Oklahoma City Thunder,California-Los Angeles,2022,1,30,30,OKC
Andrew Nembhard,Indiana Pacers,Gonzaga,2022,2,1,31,IND
Caleb Houstan,Orlando Magic,Michigan,2022,2,2,32,ORL
Christian Koloko,Toronto Raptors,Arizona,2022,2,3,33,TOR
Jaylin Williams,Oklahoma City Thunder,Arkansas,2022,2,4,34,OKC
Max Christie,Los Angeles Lakers,Michigan State,2022,2,5,35,LAL
Gabriele Procida,Portland Trail Blazers,Fortitudo Pallacanestro Bologna (Italy),2022,2,6,36,POR
Jaden Hardy,Sacramento Kings,Ignite (G League),2022,2,7,37,SAC
Kennedy Chandler,San Antonio Spurs,Tennessee,2022,2,8,38,SAS
Khalifa Diop,Cleveland Cavaliers,CB Gran Canaria (Spain),2022,2,9,39,CLE
Bryce McGowens,Minnesota Timberwolves,Nebraska,2022,2,10,40,MIN
E.J. Liddell,New Orleans Pelicans,Ohio State,2022,2,11,41,NOP
Trevor Keels,New York Knicks,Duke,2022,2,12,42,NYK
Moussa Diabaté,La Clippers,Michigan,2022,2,13,43,LAC
Ryan Rollins,Atlanta Hawks,Toledo,2022,2,14,44,ATL
Josh Minott,Charlotte Hornets,Memphis,2022,2,15,45,CHA
Ismael Kamagate,Detroit Pistons,Paris (France),2022,2,16,46,DET
Vince Williams Jr.,Memphis Grizzlies,Virginia Commonwealth,2022,2,17,47,MEM
Kendall Brown,Minnesota Timberwolves,Baylor,2022,2,18,48,MIN
Isaiah Mobley,Cleveland Cavaliers,Southern California,2022,2,19,49,CLE
Matteo Spagnolo,Minnesota Timberwolves,Vanoli Cremona (Italy),2022,2,20,50,MIN
Tyrese Martin,Golden State Warriors,Connecticut,2022,2,21,51,GSW
Karlo Matković,New Orleans Pelicans,Mega Mozzart (Serbia),2022,2,22,52,NOP
JD Davison,Boston Celtics,Alabama,2022,2,23,53,BOS
Yannick Nzosa,Washington Wizards,Unicaja Baloncesto Malaga (Spain),2022,2,24,54,WAS
Gui Santos,Golden State Warriors,Associacao Atletica Ponte Preta (Brazil),2022,2,25,55,GSW
Luke Travers,Cleveland Cavaliers,Perth Wildcats (Australia),2022,2,26,56,CLE
Jabari Walker,Portland Trail Blazers,Colorado,2022,2,27,57,POR
Hugo Besson,Indiana Pacers,Breakers (New Zealand),2022,2,28,58,IND
Cade Cunningham,Detroit Pistons,Oklahoma State,2021,1,1,1,DET
Jalen Green,Houston Rockets,Ignite (G League),2021,1,2,2,HOU
Evan Mobley,Cleveland Cavaliers,Southern California,2021,1,3,3,CLE
Scottie Barnes,Toronto Raptors,Florida State,2021,1,4,4,TOR
Jalen Suggs,Orlando Magic,Gonzaga,2021,1,5,5,ORL
Josh Giddey,Oklahoma City Thunder,NBA Global Academy (Australia),2021,1,6,6,OKC
